,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,CIUDAD,COD_OFI,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA
574,M,228884,46.0,UNV,CAS,SANTIAGO,35,786299,5479,0,879431,3,0,10129,1,2100000,NO,FUGA
575,M,71723,47.0,UNV,CAS,SANTIAGO,55,0,250538,0,92690,46,0,734,1,6100000,NO,FUGA
576,F,4318257,39.0,TEC,SOL,SANTIAGO,85,0,222517,0,113059,2,0,0,1,4100000,SI,NO FUGA
577,F,279116,50.0,TEC,CAS,ARICA,138,0,671075,1336139,0,0,9529,5253,1,700000,NO,FUGA
578,F,1710702,46.0,TEC,SEP,SANTIAGO,93,0,4218388,0,0,0,6150,0,0,8000000,NO,NO FUGA
579,F,479055,52.0,TEC,CAS,CONCEPCION,27,0,145949,0,290535,10,0,21,1,2100000,NO,FUGA
580,F,138348,51.0,TEC,CAS,ARICA,138,11357,110159,0,1162,256,0,4,1,1100000,NO,FUGA
581,M,313155,28.0,TEC,SOL,SANTIAGO,59,0,0,0,0,0,0,123,1,2200000,NO,FUGA
582,F,581941,36.0,TEC,SEP,SANTIAGO,48,0,110516,0,0,0,6028,0,0,5800000,NO,NO FUGA
583,M,3976014,43.5859204197639,UNV,CAS,SANTIAGO,55,0,0,0,0,148,0,0,1,1800000,NO,FUGA
584,M,321097,48.0,MED,CAS,ARICA,138,0,34822,0,112983,254,0,205,1,3500000,NO,FUGA
585,F,385361,36.0,MED,CAS,SANTIAGO,16,0,53727,0,0,0,0,12,0,1600000,NO,NO FUGA
586,M,4274214,40.0,UNV,CAS,SANTIAGO,55,124448,10667,0,0,748,0,0,2,3000000,NO,FUGA
587,M,253722,47.0,MED,CAS,SANTIAGO,19,0,15852,0,1432144,642,0,12272,3,5100000,NO,FUGA
588,F,760472,42.0,UNV,CAS,ARICA,138,757496,512271,0,837129,3104,0,5415,2,5600000,SI,FUGA
589,M,48599,50.0,UNV,SOL,SANTIAGO,31,77513,54420,0,10201,84,0,24,1,1500000,SI,FUGA
590,F,6232466,37.0,TEC,VIU,SANTIAGO,84,0,345131,0,72745,116,0,14,1,600000,NO,NO FUGA
591,M,349114,49.0,UNV,CAS,ARICA,138,0,862560,0,0,2,0,0,1,4600000,NO,FUGA
592,F,352445,33.0,TEC,CAS,PUNTA ARENAS,71,0,0,0,0,1212,0,0,2,2400000,NO,NO FUGA
593,M,81139,37.0,TEC,CAS,SANTIAGO,90,188295,19077,0,1720,176,0,504,1,1100000,NO,NO FUGA
594,F,198171,38.0,MED,CAS,SANTIAGO,85,0,43098,0,82818,308,8162,6739,1,8000000,NO,NO FUGA
595,F,871,26.0,UNV,SOL,SANTIAGO,90,0,53963,0,0,0,14271,39,0,1700000,NO,NO FUGA
596,M,2801104,49.0,MED,CAS,ARICA,138,0,0,0,973031,101,0,135891,1,8000000,NO,FUGA
597,M,530544,28.0,TEC,CAS,SANTIAGO,48,76399,142375,0,222359,818,0,94,1,2700000,SI,FUGA
598,F,216672,44.0,TEC,CAS,SANTIAGO,50,0,980096,0,221091,476,42919,48408,3,8000000,NO,NO FUGA
599,F,2190953,53.0,TEC,CAS,SANTIAGO,85,0,2196116,0,0,71,0,32,1,8000000,NO,NO FUGA
600,M,591027,47.0,UNV,CAS,ARICA,138,0,0,287429,0,0,861,1734,1,5500000,NO,FUGA
601,M,32300,51.0,UNV,SEP,SANTIAGO,55,0,360593,0,0,81,0,1515,1,3500000,NO,FUGA
602,F,114591,43.0,MED,CAS,SANTIAGO,48,0,0,0,2,164,0,47,1,1900000,NO,NO FUGA
603,M,673932,34.0,UNV,CAS,SANTIAGO,25,0,689459,0,0,4,0,0,1,8000000,NO,NO FUGA
604,M,577982,41.0,UNV,CAS,TALCA,23,0,53865,0,0,19,0,8291,1,2400000,NO,NO FUGA
605,F,91081,63.0,MED,CAS,AYSEN,95,0,65598,0,209809,477,0,0,1,1100000,NO,NO FUGA
606,M,953599,37.0,MED,SEP,ANTOFAGASTA,84,0,870685,0,0,2,0,0,1,5300000,NO,NO FUGA
607,F,417221,49.0,TEC,SEP,SANTIAGO,59,0,333519,0,0,0,0,7632,0,1400000,NO,NO FUGA
608,F,740089,31.0,UNV,SOL,TALCA,44,0,32744,0,63912,319,0,375,1,4400000,NO,FUGA
609,M,1633940,42.0,UNV,CAS,SANTIAGO,82,0,473485,0,0,1,7549,130,1,8000000,NO,FUGA
610,F,7102,44.0,MED,SOL,CORONEL,23,0,259323,0,76520,0,0,81,0,4200000,SI,NO FUGA
611,F,4546648,32.0,TEC,SOL,CALAMA,12,0,0,0,0,151,0,126,1,1800000,NO,NO FUGA
612,F,351631,51.0,TEC,SEP,SANTIAGO,53,0,15587,0,0,2,0,0,2,1700000,NO,NO FUGA
613,M,171079,38.0,TEC,CAS,COPIAPO,14,0,0,0,74170,0,0,396,0,4000000,SI,NO FUGA
614,M,454358,38.0,TEC,SOL,SANTIAGO,90,0,348176,0,0,0,27820,0,0,1500000,NO,NO FUGA
615,M,311217,34.0,MED,SOL,SANTIAGO,19,158080,211943,0,303893,219,0,79,3,1300000,NO,NO FUGA
616,M,68297,35.0,TEC,CAS,SANTIAGO,39,0,68187,0,0,48,0,0,1,2300000,NO,NO FUGA
617,F,97609,49.0,UNV,CAS,CONCEPCION,27,0,46302,0,174988,107,0,158,1,1900000,NO,FUGA
618,M,103820,50.0,TEC,CAS,SANTIAGO,108,0,124742,0,0,27,87,0,1,3700000,NO,NO FUGA
619,F,24558,47.0,TEC,VIU,ANTOFAGASTA,13,0,225860,0,0,46,3487,507,1,3500000,SI,NO FUGA
620,F,254785,29.0,TEC,CAS,TEMUCO,74,0,8777,0,49651,71,0,105,1,1700000,NO,NO FUGA
621,M,1162851,44.0,UNV,CAS,SANTIAGO,52,0,245039,0,64761,0,343,195,1,1200000,NO,FUGA
622,M,675681,47.0,UNV,SOL,SANTIAGO,18,0,27421,0,151715,751,0,0,2,3700000,NO,FUGA
623,M,179314,55.0,UNV,CAS,SANTIAGO,31,0,480411,0,0,32,0,0,1,3000000,NO,FUGA
624,M,125583,41.0,MED,SEP,EL SALVADOR,122,0,0,0,0,73,0,0,1,2400000,NO,NO FUGA
625,M,514834,30.0,TEC,SOL,QUILPUE,100,0,0,0,68047,23,0,36,2,2300000,NO,NO FUGA
626,M,1470902,39.0,UNV,CAS,SANTIAGO,73,0,797747,0,0,389,87778,18555,2,8000000,NO,NO FUGA
627,M,343220,46.0,TEC,CAS,SANTIAGO,31,0,137706,0,330925,0,0,321,1,1700000,NO,FUGA
628,M,1080822,37.0,MED,CAS,LA SERENA,48,0,44490,0,45761,0,24359,30,0,4800000,NO,NO FUGA
629,M,602284,38.0,UNV,CAS,SANTIAGO,17,0,2320,0,0,1,2568,0,1,3900000,NO,NO FUGA
630,M,296109,39.0,UNV,CAS,OSORNO,61,0,0,0,0,8,0,52,1,2000000,NO,NO FUGA
631,M,182358,50.0,UNV,SOL,SANTIAGO,108,0,108957,0,545220,4355,0,1491,2,900000,NO,FUGA
632,F,452316,32.0,TEC,SOL,SANTIAGO,39,0,77274,0,254911,775,19257,410,2,1200000,NO,NO FUGA
633,F,534021,51.0,MED,CAS,SANTIAGO,92,0,15291,0,56706,358,0,228,1,2000000,NO,FUGA
634,M,561577,47.0,UNV,CAS,ARICA,138,0,108599,0,1145,0,0,1,1,2400000,NO,FUGA
635,F,47097,37.0,MED,SOL,SANTIAGO,35,0,257449,0,0,3,0,188,1,1600000,SI,NO FUGA
636,F,409274,34.0,UNV,CAS,PUERTO VARAS,62,0,62032,0,0,780,0,0,1,2900000,NO,NO FUGA
637,M,65383,47.0,UNV,CAS,SANTIAGO,55,0,521070,0,187429,1776,0,1335,3,750000,NO,FUGA
638,M,10929,45.0,UNV,CAS,SANTIAGO,55,313328,1784095,0,999821,2196,0,22626,1,8000000,NO,FUGA
639,M,780119,55.0,TEC,CAS,SANTIAGO,90,0,175065,0,0,76,2511,0,1,3600000,NO,FUGA
640,M,293356,44.0,UNV,CAS,IQUIQUE,90,0,0,0,0,1,22392,0,1,2800000,NO,NO FUGA
641,F,545092,54.0,UNV,SOL,SANTIAGO,73,0,104078,0,20931,108,0,0,1,3800000,NO,FUGA
642,M,315589,54.0,UNV,SOL,CONCEPCION,27,0,74586,0,0,15,0,0,1,1600000,NO,FUGA
643,F,466322,59.0,MED,CAS,LOS ANDES,86,735935,0,0,0,349,0,0,1,1600000,NO,NO FUGA
644,M,551859,44.0,MED,CAS,SANTIAGO,31,1077677,15507,0,281913,1414,0,226,1,1400000,SI,FUGA
645,F,8208047,37.0,TEC,SOL,SANTIAGO,104,0,468248,0,0,0,0,122,0,1300000,NO,NO FUGA
646,M,481105,41.0,TEC,SOL,QUILLOTA,87,0,635229,0,310295,0,0,3,0,2200000,NO,NO FUGA
647,F,253793,49.0,TEC,CAS,CALAMA,12,0,4120,0,0,286,0,0,1,1300000,NO,NO FUGA
648,M,42292,40.0,UNV,SOL,QUILPUE,43,0,182905,0,85644,220,0,1950,1,2400000,SI,NO FUGA
649,M,430043,40.0,TEC,CAS,LA SERENA,46,0,345206,0,0,34,0,0,2,1700000,NO,NO FUGA
650,M,251356,52.0,UNV,CAS,IQUIQUE,10,0,292956,0,0,11,7028,0,1,2300000,NO,NO FUGA
651,F,903611,27.0,TEC,SOL,SANTIAGO,28,0,1094088,0,0,41,0,0,1,4400000,NO,NO FUGA
652,F,3056629,36.0,TEC,SOL,SANTIAGO,84,0,100442,0,0,1234,0,0,1,3100000,NO,NO FUGA
653,F,4804116,44.0,UNV,CAS,SANTIAGO,102,731599,0,0,88760,261,8629,6,1,3200000,NO,FUGA
654,M,360509,53.0,MED,VIU,SANTIAGO,122,0,23108,0,1059056,236,31088,1712,2,2100000,NO,FUGA
655,F,442128,28.0,UNV,CAS,TALCA,44,0,2014953,0,0,8,0,0,1,2400000,NO,NO FUGA
656,M,48660,50.0,UNV,CAS,SANTIAGO,31,0,407638,0,0,890,0,0,2,2300000,NO,FUGA
657,F,135840,45.0,UNV,CAS,SANTIAGO,16,0,108250,0,0,0,0,98,1,3500000,SI,FUGA
658,M,659449,47.0,UNV,CAS,ARICA,138,1181636,8828,0,29247,2065,0,79,1,1800000,NO,FUGA
659,F,59943,49.0,MED,SOL,SANTIAGO,49,0,35942,5571313,1723238,0,0,3062,0,4000000,SI,NO FUGA
660,M,17602,50.0,MED,CAS,SANTIAGO,85,1255140,454098,0,0,1604,0,0,2,8000000,NO,FUGA
661,F,548999,30.0,TEC,SOL,SANTIAGO,90,0,0,0,0,41,4656,281,1,5500000,NO,NO FUGA
662,F,152380,33.0,TEC,CAS,PUERTO MONTT,60,0,73081,0,0,803,0,367,1,900000,NO,NO FUGA
663,F,35604,54.0,MED,SOL,SANTIAGO,90,0,109057,0,0,0,0,1297,0,8000000,SI,NO FUGA
664,M,337822,29.0,UNV,SOL,SANTIAGO,101,0,1207594,0,5680,0,10933,0,1,2600000,NO,FUGA
665,M,732940,54.0,TEC,CAS,CONCEPCION,27,0,492820,0,0,0,1088,0,1,3500000,SI,FUGA
666,F,877998,54.0,TEC,CAS,CONCEPCION,27,0,1069903,0,8241,475,27270,23157,1,5500000,NO,NO FUGA
667,F,14565,49.0,TEC,SOL,SANTIAGO,15,0,0,0,0,562,0,1870,1,8000000,SI,NO FUGA
668,M,24181,51.0,UNV,VIU,SANTIAGO,55,2641613,1245418,10976183,265503,3005,26898,8358,2,7100000,NO,FUGA
669,M,24885,49.0,MED,CAS,SANTIAGO,55,1216244,1135491,0,0,364,1278,1726,1,2300000,NO,FUGA
670,F,338401,51.0,TEC,CAS,LINARES,78,0,131600,0,0,0,0,3784,0,3800000,NO,NO FUGA
671,M,1283867,40.0,UNV,SEP,SANTIAGO,128,0,293181,0,0,36,0,0,2,8000000,NO,NO FUGA
672,M,207850,43.0,TEC,SOL,CHILLAN,67,0,727134,0,0,0,0,17403,0,5600000,NO,NO FUGA
673,M,21495,40.0,UNV,CAS,SANTIAGO,52,0,933,0,363526,594,0,128,2,1300000,NO,FUGA
674,F,3321995,36.0,TEC,VIU,SANTIAGO,69,1104460,100894,0,0,589,0,0,1,1500000,NO,NO FUGA
675,F,1170936,35.0,TEC,VIU,SANTIAGO,90,0,341237,0,0,217,0,0,1,8000000,NO,NO FUGA
676,M,1594955,42.0,MED,CAS,SANTIAGO,49,0,0,0,121502,485,3710,3578,1,3300000,NO,FUGA
677,M,414074,44.0,UNV,CAS,IQUIQUE,10,0,216707,0,0,11,0,0,1,1800000,NO,NO FUGA
678,M,951209,48.0,MED,SEP,SANTIAGO,117,0,179708,0,0,3015,0,110,2,500000,SI,FUGA
679,M,437275,31.0,TEC,SOL,SANTIAGO,92,658892,5646,0,405260,597,0,411,1,900000,SI,FUGA
680,M,78491,54.0,TEC,CAS,SANTIAGO,25,0,337814,0,510087,667,0,119,1,1000000,NO,FUGA
681,F,5588459,39.0,TEC,VIU,SANTIAGO,31,0,288192,0,54502,2080,0,205,1,2700000,NO,NO FUGA
682,M,55306,52.0,UNV,CAS,SANTIAGO,49,0,788,0,419487,2414,0,1068,3,1900000,NO,FUGA
683,F,370159,35.0,TEC,VIU,SAN PEDRO,27,0,463815,11870618,465189,1934,11886,11312,1,4400000,NO,NO FUGA
684,M,605690,54.0,MED,CAS,SANTIAGO,25,0,253935,0,89453,0,7867,14,1,5200000,NO,FUGA
685,M,57000,44.0,UNV,CAS,SANTIAGO,90,9088,47141,0,182323,1978,0,493,3,1400000,NO,FUGA
686,F,192875,55.0,MED,SOL,SANTIAGO,122,0,0,0,0,81,0,194,1,6500000,SI,NO FUGA
687,F,42202,54.0,MED,CAS,SANTIAGO,59,0,836628,0,0,14,2813,0,1,8000000,NO,NO FUGA
688,M,3485500,41.0,UNV,CAS,SANTIAGO,55,12534,158489,0,395551,516,0,196,1,2000000,NO,FUGA
689,M,1017402,47.0,UNV,CAS,ARICA,138,0,392116,632720,0,0,0,0,1,5200000,NO,FUGA
690,M,221041,30.0,TEC,SOL,CONCEPCION,90,0,3703,0,0,37,0,0,1,2000000,NO,NO FUGA
691,F,364106,55.0,UNV,CAS,CONCEPCION,27,0,1167,0,267951,116,0,99,1,2000000,NO,FUGA
692,M,350730,45.0,UNV,CAS,SANTIAGO,90,0,93802,0,0,373,5266,2,1,1900000,NO,NO FUGA
693,M,270899,42.0,TEC,CAS,CONCEPCION,27,2853553,352220,0,0,3100,0,1076,1,7000000,NO,FUGA
694,M,643976,43.0,MED,CAS,VINA DEL MAR,47,0,482343,0,0,71,0,9,2,3700000,SI,NO FUGA
695,F,89381,50.0,TEC,CAS,SANTIAGO,54,0,10098,0,0,2149,0,742,3,1900000,NO,NO FUGA
696,F,155679,48.0,MED,CAS,CHUQUICAMATA,21,0,0,0,39947,0,0,15,0,2000000,NO,NO FUGA
697,M,945731,42.0,TEC,CAS,SANTIAGO,45,0,208847,0,0,743,23911,129,1,5800000,NO,FUGA
698,F,6114405,31.0,TEC,SOL,SAN FERNANDO,79,0,0,0,0,0,733,83,0,2900000,SI,NO FUGA
699,F,730652,41.0,MED,SOL,SANTIAGO,102,0,93684,0,888793,269,0,127,1,3200000,SI,NO FUGA
700,F,693081,44.0,TEC,CAS,IQUIQUE,90,0,0,0,0,4,17081,0,1,2800000,NO,NO FUGA
701,M,429894,46.0,MED,SOL,ARICA,138,763874,5212,0,241828,247,0,194,1,500000,SI,FUGA
702,F,38019,43.0,MED,SOL,TOCOPILLA,11,0,98699,0,0,0,0,2262,0,6100000,SI,NO FUGA
703,F,859951,45.0,UNV,CAS,SANTIAGO,24,657794,698,0,162006,437,0,286,2,3100000,SI,FUGA
704,M,4150,45.0,UNV,CAS,SANTIAGO,54,0,59253,0,0,486,5222,0,1,3800000,NO,FUGA
705,F,1058275,39.0,TEC,CAS,SANTIAGO,48,0,953023,0,0,0,21056,0,0,4000000,NO,NO FUGA
706,M,652605,28.0,UNV,SOL,TEMUCO,66,0,530671,0,254228,0,0,146,0,3200000,NO,NO FUGA
707,M,646229,54.0,TEC,CAS,CONCEPCION,27,0,608452,0,0,0,26381,21,1,3100000,NO,FUGA
708,M,713424,43.0,MED,CAS,SANTIAGO,82,393553,22484,0,67233,182,0,71,1,8000000,SI,FUGA
709,M,481288,39.0,TEC,CAS,SANTIAGO,57,0,206523,0,599593,203,0,625,1,1500000,NO,NO FUGA
710,F,455464,54.0,UNV,VIU,SANTIAGO,16,0,545721,0,0,17,0,0,1,1300000,SI,NO FUGA
711,M,36948,49.0,UNV,CAS,SANTIAGO,49,105279,1356,0,510823,1400,0,402,1,1700000,SI,FUGA
712,M,237944,29.0,UNV,CAS,SANTIAGO,76,45468,30231,0,580777,557,0,456,1,2900000,NO,NO FUGA
713,F,1983371,31.0,MED,SOL,SANTIAGO,48,0,71136,0,0,1,0,0,1,1900000,NO,NO FUGA
714,M,6420819,43.0,UNV,CAS,SANTIAGO,17,0,158540,0,535503,0,0,125,1,2400000,NO,FUGA
715,M,4087490,45.0,UNV,CAS,SANTIAGO,31,0,274655,0,66389,0,0,126,1,3300000,NO,FUGA
716,F,2315744,30.0,MED,VIU,SANTIAGO,76,0,19178,0,65512,14,0,19,1,1900000,NO,NO FUGA
717,M,1091996,37.0,UNV,SOL,COPIAPO,14,1267283,1120628,0,0,439,27303,13,1,4500000,NO,NO FUGA
718,F,6258526,36.0,TEC,VIU,SANTIAGO,96,0,291716,0,0,2366,0,116,1,4400000,NO,NO FUGA
719,M,15595,40.0,MED,CAS,SANTIAGO,41,0,93979,0,59006,176,0,53,1,3500000,NO,NO FUGA
720,F,5511066,36.0,MED,VIU,SANTIAGO,40,0,1347428,0,73707,32,0,0,1,8000000,NO,NO FUGA
721,F,25975,42.0,TEC,SOL,PUERTO MONTT,60,606920,796261,0,0,1626,0,21582,1,4200000,SI,NO FUGA
722,F,28572,28.0,EUN,SOL,SANTIAGO,132,0,85576,0,0,230,0,0,3,1200000,NO,NO FUGA
723,F,4538557,27.0,EUN,SOL,SANTIAGO,52,0,70246,0,275500,0,0,59,0,8000000,NO,NO FUGA
724,M,960901,52.0,UNV,SOL,ARICA,138,0,0,0,0,0,0,0,1,5000000,NO,FUGA
725,M,68274,47.0,MED,CAS,SANTIAGO,55,0,41022,0,952945,4311,40173,2266,2,3000000,NO,FUGA
726,M,872727,38.0,TEC,CAS,SANTIAGO,18,0,184647,0,0,2052,0,1041,2,1200000,SI,NO FUGA
727,M,390098,53.0,TEC,SOL,SANTIAGO,90,0,0,0,0,50,22571,922,1,8000000,NO,NO FUGA
728,F,61058,40.0,TEC,SOL,RANCAGUA,52,0,116612,0,31378,0,2525,0,0,2200000,NO,NO FUGA
729,F,190625,48.0,MED,CAS,ARICA,138,482390,399744,0,0,1406,0,0,1,1900000,NO,FUGA
730,M,1097637,43.0,UNV,CAS,SANTIAGO,48,0,99844,0,88408,4162,516,505,3,1500000,NO,FUGA
731,F,239849,42.0,TEC,SOL,CONCEPCION,27,706124,241525,0,67661,753,0,2051,2,5600000,SI,FUGA
732,M,751995,45.0,UNV,CAS,SANTIAGO,30,0,69309,0,17067,178,0,0,2,4000000,NO,FUGA
733,M,14777,40.0,UNV,CAS,SANTIAGO,55,0,496450,356892,0,1,0,2064,1,8000000,NO,FUGA
734,M,3934515,40.0,UNV,CAS,SANTIAGO,76,0,5986,583734,33859,10,0,676,1,3700000,SI,FUGA
735,F,500311,50.0,UNV,SOL,ARICA,138,0,438325,0,117538,439,0,0,1,4700000,NO,FUGA
736,F,824557,39.0,UNV,CAS,SANTIAGO,32,748526,328077,0,138104,216,0,1,1,3700000,NO,NO FUGA
737,F,1396099,42.0,TEC,CAS,SANTIAGO,24,0,760742,0,0,143,1863,1,2,8000000,NO,NO FUGA
738,M,529158,54.0,UNV,CAS,CONCEPCION,27,0,729385,0,56759,726,28812,20427,1,5500000,NO,NO FUGA
739,F,7801,45.0,TEC,SOL,SANTIAGO,37,0,170752,0,152234,95,0,166,1,3600000,SI,NO FUGA
740,M,242163,45.0,UNV,SOL,SANTIAGO,90,347876,132295,0,90838,258,0,59,2,1200000,NO,FUGA
741,M,1006584,37.0,TEC,CAS,TEMUCO,124,591119,224339,0,0,104,20378,3085,1,5700000,NO,NO FUGA
742,F,337607,36.0,MED,CAS,SANTIAGO,101,0,471220,0,0,356,0,321,1,1500000,NO,NO FUGA
743,M,39687,28.0,TEC,SOL,ANTOFAGASTA,13,0,299599,0,0,33,30469,1368,2,5500000,SI,NO FUGA
744,F,2597747,53.0,TEC,SOL,SANTIAGO,85,0,2024218,0,0,144,0,8175,1,8000000,NO,NO FUGA
745,M,471524,30.0,TEC,CAS,QUILPUE,100,0,0,0,155583,44,0,8,2,2300000,NO,NO FUGA
746,M,37341,31.0,MED,SOL,VINA DEL MAR,40,0,472681,0,301276,0,0,222,0,3500000,NO,NO FUGA
747,F,1290610,33.0,TEC,VIU,PUERTO VARAS,62,0,583750,0,0,702,1944,55,1,4400000,NO,NO FUGA
748,F,413543,44.0,MED,CAS,SANTIAGO,55,0,723235,0,0,1,0,1,1,8000000,NO,NO FUGA
749,M,640034,54.0,UNV,CAS,SANTIAGO,31,0,61135,0,329011,708,0,628,2,4400000,NO,FUGA
750,F,953265,40.0,UNV,CAS,SANTIAGO,102,0,767779,0,248002,2098,0,38,2,3400000,NO,FUGA
751,F,103184,48.0,MED,CAS,ARICA,138,0,643,0,221182,1430,0,8620,2,750000,NO,FUGA
752,F,33348,46.0,TEC,SOL,SANTIAGO,53,0,586808,0,0,1,5103,0,1,8000000,SI,NO FUGA
753,M,1209730,55.0,UNV,CAS,SANTIAGO,39,0,39741,0,51927,2088,0,48,3,7200000,NO,NO FUGA
754,M,418763,38.0,TEC,CAS,LOS ANGELES,68,654741,493935,0,0,307,0,0,1,2500000,NO,NO FUGA
755,M,269022,51.0,UNV,SOL,SANTIAGO,90,0,188847,0,93045,0,0,14233,1,2200000,NO,FUGA
756,M,4111,31.0,TEC,CAS,CONCEPCION,27,0,169722,0,20901,50,0,209,1,2600000,NO,FUGA
757,F,57715,48.0,TEC,SOL,TOCOPILLA,11,0,0,0,146442,860,0,893,1,8000000,SI,NO FUGA
758,M,605660,54.0,UNV,CAS,SANTIAGO,57,0,537390,0,440,158,0,3,1,8000000,NO,FUGA
759,F,4403,33.0,TEC,SOL,SANTIAGO,45,0,1143507,0,0,1,0,0,1,2700000,SI,NO FUGA
760,M,827826,46.0,MED,SOL,COPIAPO,14,0,175344,0,2375,0,0,22959,0,8000000,NO,NO FUGA
761,M,768598,54.0,UNV,CAS,CONCEPCION,27,2019178,29723,0,1043172,5407,11390,2506,2,1200000,NO,FUGA
762,F,41834,40.0,MED,VIU,SANTIAGO,84,0,968416,0,0,1720,0,41192,1,8000000,SI,NO FUGA
763,M,387708,50.0,UNV,CAS,SANTIAGO,37,0,202169,0,0,465,0,0,2,1400000,NO,FUGA
764,M,2201554,28.0,MED,CAS,SANTIAGO,90,0,212295,0,0,62,45296,0,2,8000000,NO,NO FUGA
765,M,469134,29.0,UNV,SOL,SANTIAGO,102,444682,116392,0,0,59,0,0,1,1200000,NO,FUGA
766,M,2775,52.0,MED,CAS,SANTIAGO,41,0,70016,0,0,1,0,884,1,2500000,NO,FUGA
767,M,673656,37.0,MED,CAS,SANTIAGO,24,0,285929,0,603282,77,16621,1318,1,8000000,NO,NO FUGA
768,M,699929,51.0,MED,CAS,SANTIAGO,90,0,78297,0,0,18,3502,0,2,4000000,NO,NO FUGA
769,M,497012,52.0,MED,CAS,CONCEPCION,27,291601,159262,3699824,217646,984,30546,4935,2,2800000,NO,FUGA
770,M,495554,60.0,TEC,SOL,CHILLAN,67,152392,864481,0,303818,189,0,361,1,1200000,NO,NO FUGA
771,M,18690,42.0,MED,CAS,SANTIAGO,31,0,0,0,0,0,0,1835,1,2800000,NO,FUGA
772,F,72964,44.0,TEC,SOL,PUERTO VARAS,62,0,151624,0,0,248,0,0,1,1800000,SI,NO FUGA
773,F,1932584,47.0,MED,CAS,ANGOL,66,0,712,0,1129497,7811,6329,17365,1,3400000,NO,NO FUGA
774,M,5576,43.0,UNV,CAS,SANTIAGO,55,0,239592,0,155566,1058,0,574,2,800000,NO,FUGA
775,M,285989,45.0,UNV,SOL,SANTIAGO,31,45324,79095,0,262740,164,0,34,1,1100000,NO,FUGA
776,M,470376,45.0,TEC,CAS,SANTIAGO,90,0,535461,0,0,234,10903,2,1,1900000,NO,NO FUGA
777,M,2863478,41.0,UNV,CAS,SANTIAGO,55,387738,141618,0,11955,523,8732,1,3,1100000,NO,FUGA
778,M,491636,53.0,UNV,SOL,SANTIAGO,31,0,397231,0,486533,568,0,956,3,3700000,NO,FUGA
779,F,5475,46.0,MED,CAS,CONCEPCION,151,0,0,0,0,0,15028,4,0,2000000,NO,NO FUGA
780,M,215955,45.0,MED,CAS,ARICA,138,0,0,0,59022,285,0,1431,3,2000000,SI,FUGA
781,M,60884,48.0,MED,CAS,SANTIAGO,55,359104,337758,0,0,3373,1952,380,2,6100000,NO,FUGA
782,M,50742,41.0,UNV,CAS,SANTIAGO,55,0,178347,0,77223,14,0,3626,1,4200000,NO,FUGA
783,M,547745,55.0,MED,CAS,SANTIAGO,31,0,229401,0,836185,0,0,991,1,3700000,NO,FUGA
784,M,878626,46.0,UNV,CAS,SANTIAGO,90,0,0,0,0,3190,0,7076,2,3100000,NO,FUGA
785,M,337448,41.0,UNV,CAS,SANTIAGO,55,0,37487,0,947584,183,0,179,1,1800000,NO,FUGA
786,M,500438,59.0,UNV,SOL,LOS ANDES,86,477060,0,0,0,244,0,0,1,1600000,NO,NO FUGA
787,M,193565,32.0,TEC,CAS,PARRAL,75,0,0,0,0,0,0,9,0,2400000,NO,NO FUGA
788,M,481970,53.0,UNV,CAS,IQUIQUE,10,0,0,338851,0,1221,0,3157,3,8000000,NO,NO FUGA
789,M,886832,55.0,TEC,CAS,SANTIAGO,103,0,54942,0,0,12,19069,66,3,3400000,NO,FUGA
790,M,3291947,40.0,UNV,CAS,SANTIAGO,54,0,59517,0,8792,31,5762,0,2,1800000,NO,FUGA
791,M,2821667,42.0,MED,SOL,SANTIAGO,83,18172,398082,0,205338,573,21487,26726,1,8000000,NO,NO FUGA
792,M,5178340,44.0,UNV,CAS,SANTIAGO,90,0,427023,0,24084,0,0,0,1,2000000,NO,FUGA
793,M,21793,55.0,UNV,CAS,SANTIAGO,55,0,770015,0,14581,188,0,10,1,500000,NO,FUGA
794,F,1685802,38.0,UNV,CAS,CHUQUICAMATA,21,0,124325,0,0,42,0,0,1,8000000,NO,NO FUGA
795,F,52522,58.0,MED,SOL,SANTIAGO,120,0,6186,0,0,6,0,0,1,8000000,SI,NO FUGA
796,M,15383,52.0,MED,CAS,CONCEPCION,27,0,18093,0,44664,465,6804,1625,2,4200000,NO,FUGA
797,M,225434,46.0,UNV,CAS,SANTIAGO,31,0,180571,39242,229612,259,0,6515,2,2100000,NO,FUGA
798,M,640375,41.0,MED,SEP,CONCEPCION,27,367586,588384,0,342718,417,420,191,2,3500000,NO,FUGA
799,F,437952,37.0,MED,SOL,SANTIAGO,90,0,334670,0,11996,0,0,58,0,1700000,NO,NO FUGA
800,M,377787,35.0,TEC,CAS,SANTIAGO,90,0,170924,0,0,0,1585,0,0,1900000,NO,NO FUGA
801,M,62859,41.0,MED,CAS,SANTIAGO,55,0,0,0,14433,481,1070,376,2,4100000,NO,FUGA
802,M,4770084,43.0,UNV,CAS,SANTIAGO,40,0,603197,0,2436112,147,19128,2960,2,4700000,NO,FUGA
803,F,406723,47.0,UNV,CAS,SANTIAGO,103,0,108584,0,0,203,0,0,2,1400000,SI,FUGA
